Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo,rejected
0,0,0,5/2/2018 13:30,20-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,21-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,3-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,4-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,5-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,6-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,7-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,8-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,9-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,26-Apr,4009227582B,0
0,0,0,5/2/2018 13:30,27-Apr,4009227582B,0
0.005813953,1,0,5/2/2018 13:30,28-Apr,4009227582B,1
0,0,0,5/2/2018 13:30,29-Apr,4009227582B,0
0,0,0,5/2/2018 13:30,30-Apr,4009227582B,0
0,0,0,5/2/2018 13:30,Apr-31,4009227582B,0
0.005813953,1,0.010416667,5/2/2018 13:30,Apr-32,4009227582B,1
0,0,0,5/2/2018 13:30,Apr-33,4009227582B,0
0,0,0,5/2/2018 13:30,Apr-34,4009227582B,0
0,0,0,5/2/2018 13:45,1-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,10-Jan,4009227582B,0
0.023255814,5,0,5/2/2018 13:45,11-Jan,4009227582B,1
0,0,0,5/2/2018 13:45,13-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,14-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,15-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,31-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,4-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,9-Jan,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-36,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-37,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-38,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-39,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-40,4009227582B,0
0.003484321,1,0,5/2/2018 13:45,Feb-41,4009227582B,1
0,0,0,5/2/2018 13:45,Feb-42,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-43,4009227582B,0
0.003484321,1,0,5/2/2018 13:45,Feb-44,4009227582B,1
0,0,0,5/2/2018 13:45,Feb-45,4009227582B,0
0.003484321,1,0,5/2/2018 13:45,Feb-46,4009227582B,1
0,0,0,5/2/2018 13:45,Feb-47,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-48,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-49,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-50,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-51,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-52,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-53,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-54,4009227582B,0
0,0,0,5/2/2018 13:45,Feb-55,4009227582B,0
0,0,0,5/2/2018 13:45,1-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,10-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,11-Mar,4009227582B,0
0.003802281,1,0,5/2/2018 13:45,12-Mar,4009227582B,1
0,0,0,5/2/2018 13:45,13-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,14-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,15-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,16-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,17-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,18-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,19-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,2-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,20-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,21-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,3-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,4-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,5-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,6-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,7-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,8-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,9-Mar,4009227582B,0
0,0,0,5/2/2018 13:45,26-Apr,4009227582B,0
0,0,0,5/2/2018 13:45,27-Apr,4009227582B,0
0.003802281,1,0,5/2/2018 13:45,28-Apr,4009227582B,1
0,0,0,5/2/2018 13:45,29-Apr,4009227582B,0
0,0,0,5/2/2018 13:45,30-Apr,4009227582B,0
0,0,0,5/2/2018 13:45,Apr-31,4009227582B,0
0.007604563,2,0.010989011,5/2/2018 13:45,Apr-32,4009227582B,1
0,0,0,5/2/2018 13:45,Apr-33,4009227582B,0
0,0,0,5/2/2018 13:45,Apr-34,4009227582B,0
0,0,0,5/2/2018 14:00,1-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,10-Jan,4009227582B,0
0.021505376,6,0.015625,5/2/2018 14:00,11-Jan,4009227582B,1
0,0,0,5/2/2018 14:00,13-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,14-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,15-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,31-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,4-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,9-Jan,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-36,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-37,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-38,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-39,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-40,4009227582B,0
0.002688172,1,0,5/2/2018 14:00,Feb-41,4009227582B,1
0,0,0,5/2/2018 14:00,Feb-42,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-43,4009227582B,0
0.002688172,1,0,5/2/2018 14:00,Feb-44,4009227582B,1
0,0,0,5/2/2018 14:00,Feb-45,4009227582B,0
0.002688172,1,0,5/2/2018 14:00,Feb-46,4009227582B,1
0,0,0,5/2/2018 14:00,Feb-47,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-48,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-49,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-50,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-51,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-52,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-53,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-54,4009227582B,0
0,0,0,5/2/2018 14:00,Feb-55,4009227582B,0
0,0,0,5/2/2018 14:00,1-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,10-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,11-Mar,4009227582B,0
0.002932551,1,0,5/2/2018 14:00,12-Mar,4009227582B,1
0,0,0,5/2/2018 14:00,13-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,14-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,15-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,16-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,17-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,18-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,19-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,2-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,20-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,21-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,3-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,4-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,5-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,6-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,7-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,8-Mar,4009227582B,0
0,0,0,5/2/2018 14:00,9-Mar,4009227582B,0
0.002890173,1,0.0125,5/2/2018 14:00,26-Apr,4009227582B,1
0,0,0,5/2/2018 14:00,27-Apr,4009227582B,0
0.002932551,1,0,5/2/2018 14:00,28-Apr,4009227582B,1
0.002932551,1,0.012820513,5/2/2018 14:00,29-Apr,4009227582B,1
0,0,0,5/2/2018 14:00,30-Apr,4009227582B,0
0,0,0,5/2/2018 14:00,Apr-31,4009227582B,0
0.005865103,2,0,5/2/2018 14:00,Apr-32,4009227582B,1
0,0,0,5/2/2018 14:00,Apr-33,4009227582B,0
0,0,0,5/2/2018 14:00,Apr-34,4009227582B,0
0,0,0,5/2/2018 14:15,1-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,10-Jan,4009227582B,0
0.017241379,6,0,5/2/2018 14:15,11-Jan,4009227582B,1
0,0,0,5/2/2018 14:15,13-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,14-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,15-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,31-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,4-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,9-Jan,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-36,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-37,4009227582B,0
0.001992032,1,0.01010101,5/2/2018 14:15,Feb-38,4009227582B,1
0,0,0,5/2/2018 14:15,Feb-39,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-40,4009227582B,0
0.002169197,1,0,5/2/2018 14:15,Feb-41,4009227582B,1
0,0,0,5/2/2018 14:15,Feb-42,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-43,4009227582B,0
0.002164502,1,0,5/2/2018 14:15,Feb-44,4009227582B,1
0,0,0,5/2/2018 14:15,Feb-45,4009227582B,0
0.002164502,1,0,5/2/2018 14:15,Feb-46,4009227582B,1
0,0,0,5/2/2018 14:15,Feb-47,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-48,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-49,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-50,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-51,4009227582B,0
0,0,0,5/2/2018 14:15,Feb-52,4009227582B,0
0.002164502,1,0.011111111,5/2/2018 14:15,Feb-53,4009227582B,1
0.002164502,1,0.011111111,5/2/2018 14:15,Feb-54,4009227582B,1
0,0,0,5/2/2018 14:15,Feb-55,4009227582B,0
0,0,0,5/2/2018 14:15,1-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,10-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,11-Mar,4009227582B,0
0.002352941,1,0,5/2/2018 14:15,12-Mar,4009227582B,1
0,0,0,5/2/2018 14:15,13-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,14-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,15-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,16-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,17-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,18-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,19-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,2-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,20-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,21-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,3-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,4-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,5-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,6-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,7-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,8-Mar,4009227582B,0
0,0,0,5/2/2018 14:15,9-Mar,4009227582B,0
0.002325581,1,0,5/2/2018 14:15,26-Apr,4009227582B,1
0,0,0,5/2/2018 14:15,27-Apr,4009227582B,0
0.002352941,1,0,5/2/2018 14:15,28-Apr,4009227582B,1
0.002352941,1,0,5/2/2018 14:15,29-Apr,4009227582B,1
0,0,0,5/2/2018 14:15,30-Apr,4009227582B,0
0,0,0,5/2/2018 14:15,Apr-31,4009227582B,0
0.004705882,2,0,5/2/2018 14:15,Apr-32,4009227582B,1
0,0,0,5/2/2018 14:15,Apr-33,4009227582B,0
0,0,0,5/2/2018 14:15,Apr-34,4009227582B,0
0,0,0,5/2/2018 14:30,1-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,10-Jan,4009227582B,0
0.015283843,7,0.009090909,5/2/2018 14:30,11-Jan,4009227582B,1
0,0,0,5/2/2018 14:30,13-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,14-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,15-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,31-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,4-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,9-Jan,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-36,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-37,4009227582B,0
0.001512859,1,0,5/2/2018 14:30,Feb-38,4009227582B,1
0,0,0,5/2/2018 14:30,Feb-39,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-40,4009227582B,0
0.001642036,1,0,5/2/2018 14:30,Feb-41,4009227582B,1
0,0,0,5/2/2018 14:30,Feb-42,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-43,4009227582B,0
0.001639344,1,0,5/2/2018 14:30,Feb-44,4009227582B,1
0,0,0,5/2/2018 14:30,Feb-45,4009227582B,0
0.001639344,1,0,5/2/2018 14:30,Feb-46,4009227582B,1
0,0,0,5/2/2018 14:30,Feb-47,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-48,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-49,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-50,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-51,4009227582B,0
0,0,0,5/2/2018 14:30,Feb-52,4009227582B,0
0.001639344,1,0,5/2/2018 14:30,Feb-53,4009227582B,1
0.001639344,1,0,5/2/2018 14:30,Feb-54,4009227582B,1
0,0,0,5/2/2018 14:30,Feb-55,4009227582B,0
0,0,0,5/2/2018 14:30,1-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,10-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,11-Mar,4009227582B,0
0.001785714,1,0,5/2/2018 14:30,12-Mar,4009227582B,1
0,0,0,5/2/2018 14:30,13-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,14-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,15-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,16-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,17-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,18-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,19-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,2-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,20-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,21-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,3-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,4-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,5-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,6-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,7-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,8-Mar,4009227582B,0
0,0,0,5/2/2018 14:30,9-Mar,4009227582B,0
0.001766784,1,0,5/2/2018 14:30,26-Apr,4009227582B,1
0,0,0,5/2/2018 14:30,27-Apr,4009227582B,0
0.001785714,1,0,5/2/2018 14:30,28-Apr,4009227582B,1
0.001785714,1,0,5/2/2018 14:30,29-Apr,4009227582B,1
0,0,0,5/2/2018 14:30,30-Apr,4009227582B,0
0,0,0,5/2/2018 14:30,Apr-31,4009227582B,0
0.005357143,3,0.007407407,5/2/2018 14:30,Apr-32,4009227582B,1
0,0,0,5/2/2018 14:30,Apr-33,4009227582B,0
0,0,0,5/2/2018 14:30,Apr-34,4009227582B,0
0,0,0,5/2/2018 14:45,1-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,10-Jan,4009227582B,0
0.014084507,8,0.009090909,5/2/2018 14:45,11-Jan,4009227582B,1
0,0,0,5/2/2018 14:45,13-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,14-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,15-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,31-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,4-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,9-Jan,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-36,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-37,4009227582B,0
0.001216545,1,0,5/2/2018 14:45,Feb-38,4009227582B,1
0,0,0,5/2/2018 14:45,Feb-39,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-40,4009227582B,0
0.001322751,1,0,5/2/2018 14:45,Feb-41,4009227582B,1
0,0,0,5/2/2018 14:45,Feb-42,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-43,4009227582B,0
0.001321004,1,0,5/2/2018 14:45,Feb-44,4009227582B,1
0,0,0,5/2/2018 14:45,Feb-45,4009227582B,0
0.001321004,1,0,5/2/2018 14:45,Feb-46,4009227582B,1
0,0,0,5/2/2018 14:45,Feb-47,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-48,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-49,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-50,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-51,4009227582B,0
0,0,0,5/2/2018 14:45,Feb-52,4009227582B,0
0.001321004,1,0,5/2/2018 14:45,Feb-53,4009227582B,1
0.001321004,1,0,5/2/2018 14:45,Feb-54,4009227582B,1
0,0,0,5/2/2018 14:45,Feb-55,4009227582B,0
0,0,0,5/2/2018 14:45,1-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,10-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,11-Mar,4009227582B,0
0.001438849,1,0,5/2/2018 14:45,12-Mar,4009227582B,1
0,0,0,5/2/2018 14:45,13-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,14-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,15-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,16-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,17-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,18-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,19-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,2-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,20-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,21-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,3-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,4-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,5-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,6-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,7-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,8-Mar,4009227582B,0
0,0,0,5/2/2018 14:45,9-Mar,4009227582B,0
0.002849003,2,0.007352941,5/2/2018 14:45,26-Apr,4009227582B,1
0,0,0,5/2/2018 14:45,27-Apr,4009227582B,0
0.001438849,1,0,5/2/2018 14:45,28-Apr,4009227582B,1
0.001438849,1,0,5/2/2018 14:45,29-Apr,4009227582B,1
0,0,0,5/2/2018 14:45,30-Apr,4009227582B,0
0.001438849,1,0.007407407,5/2/2018 14:45,Apr-31,4009227582B,1
0.004316547,3,0,5/2/2018 14:45,Apr-32,4009227582B,1
0,0,0,5/2/2018 14:45,Apr-33,4009227582B,0
0,0,0,5/2/2018 14:45,Apr-34,4009227582B,0
0,0,0,5/2/2018 15:00,1-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,10-Jan,4009227582B,0
0.013235294,9,0.008928571,5/2/2018 15:00,11-Jan,4009227582B,1
0,0,0,5/2/2018 15:00,13-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,14-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,15-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,31-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,4-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,9-Jan,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-36,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-37,4009227582B,0
0.00101833,1,0,5/2/2018 15:00,Feb-38,4009227582B,1
0,0,0,5/2/2018 15:00,Feb-39,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-40,4009227582B,0
0.001104972,1,0,5/2/2018 15:00,Feb-41,4009227582B,1
0,0,0,5/2/2018 15:00,Feb-42,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-43,4009227582B,0
0.001103753,1,0,5/2/2018 15:00,Feb-44,4009227582B,1
0,0,0,5/2/2018 15:00,Feb-45,4009227582B,0
0.001103753,1,0,5/2/2018 15:00,Feb-46,4009227582B,1
0,0,0,5/2/2018 15:00,Feb-47,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-48,4009227582B,0
0,0,0,5/2/2018 15:00,Feb-49,4009227582B,0
